S.NO,Code,StationNames,Lat,Long,Elev,GSM Signal,Satellite ,Province,Status
1,ARG,Arandu_ARG_1,35.7128,75.4033,2490,NO,YES,GB,Installed
2,ARG,Arandu_ARG_2,35.5044,75.678,2368m,YES,YES,GB,Installed
3,ARG,Arandu_ARG_3,35.5588,75.5413,2538m,YES,YES,GB,Installed
4,ARG,Arandu_ARG_4,35.4494,75.8158,2957,NO,YES,GB,Installed
5,ARG,Arandu_ARG_5,35.8803,75.3979,2977m,NO,YES,GB,Installed
6,AWS-H,Arandu_AWS-H_1,35.8605,75.3276,2926,NO,YES,GB,Installed
7,DG,Arandu_DG_1,35.4204,75.714,2248m,YES,YES,GB,Installed
8,WLR,Arandu_WL-R_1,35.6942,75.4202,2416m,NO,YES,GB,Installed
9,WLR,Arandu_WL-R_2,35.5461,75.5769,2268m,NO,YES,GB,Installed
10,WLR,Arandu_WL-R_3,35.8707,75.3331,2785m,NO,YES,GB,Installed
11,WLR,Arandu_WL-R_4,35.4375,75.7884,2580m,NO,YES,GB,Installed
12,WLR,Arandu_WL-R_5,35.5538,75.5253,2815m,YES,YES,GB,Installed
13,WP,Arandu_WP_1,35.8661,75.3371,2790m,NO,YES,GB,Installed
14,WP,Arandu_WP_2,35.5621,75.5489,2430m,YES,YES,GB,Installed
15,WP,Arandu_WP_3,35.484,75.6522,2295m,YES,YES,GB,Installed
16,ARG,Arkari_ARG_1,36.1974,71.7977,4360,NO,YES,KP,Installed
17,ARG,Arkari_ARG_2,36.141,71.6735,2400,Yes,YES,KP,Installed
18,ARG,Arkari_ARG_3,36.284,71.673,2890,Yes,YES,KP,Installed
19,AWS,Arkari_AWS-H_1,36.1923,71.7625,3465,NO,YES,KP,Installed
20,AWS,Arkari_AWS_1,36.1989,71.6775,2607,Yes,YES,KP,Installed
21,DG,Arkari_DG_1,36.1864,71.6718,2466,Yes,YES,KP,Installed
22,WL-R,Arkari_WL-R_1,36.1917,71.7625,2730,Yes,YES,KP,Installed
23,WL-R,Arkari_WL-R_2,36.2149,71.7044,2575,Yes,YES,KP,Installed
24,WP,Arkari_WP_1,36.199,71.6774,2606,Yes,YES,KP,Installed
25,WP,Arkari_WP_2,35.1409,71.6735,2405,Yes,YES,KP,Installed
26,ARG,Badswat_ARG_1,36.3422,73.8542,2259,YES,YES,GB,Installed
27,ARG,Badswat_ARG_2,36.4886,73.9535,2955,NO,YES,GB,Installed
28,ARG,Badswat_ARG_3,36.6339,73.7225,3210,NO,YES,GB,Installed
29,ARG,Badswat_ARG_4,36.5500,73.8177,2590,NO,YES,GB,Installed
30,ARG,Badswat_ARG_5,36.1555,73.847617,1853,YES,YES,GB,Installed
31,AWS,Badswat_AWS_1,36.5214,74.0623,3424,NO,YES,GB,Installed
32,AWS,Badswat_AWS_2,36.5584,73.6993,3100,NO,YES,GB,Installed
33,AWS,Badswat_AWS_3,36.2264,73.7171,1873,YES,YES,GB,Installed
34,DG,Badswat_DG_1,36.6147,74.0651,2837,NO,YES,GB,Installed
35,DG,Badswat_DG_2,36.2738,73.7733,1943,YES,YES,GB,Installed
36,DG,Badswat_DG_3,36.6843,74.0251,3020,NO,YES,GB,Installed
37,DG,Badswat_DG_4,36.4513,73.8412,2160,NO,YES,GB,Installed
38,WL-L,Badswat_WL-L_2,36.6436,73.6483,3808,NO,YES,GB,Installed
39,WL-L,Badswat_WL-L_3,36.5444,74.0401,2605,NO,YES,GB,Installed
40,WL-R,Badswat_WL-R_1,36.5071,73.9251,2340,NO,YES,GB,Installed
41,WL-R,Badswat_WL-R_2,36.5382,74.0331,2728,NO,YES,GB,Installed
42,WP,Badswat_WP_1,36.5404,74.0371,2718,NO,YES,GB,Installed
43,WP,Badswat_WP_2,36.5270,73.9876,2510,NO,YES,GB,Installed
44,ARG,Barah_ARG_1,35.1994,76.2633,2720,YES,YES,GB,Installed
45,ARG,Barah_ARG_2,35.1034,76.2397,4485,NO,YES,GB,Installed
46,AWS-H,Barah_AWS-H_1,35.1287,76.2375,4238,NO,YES,GB,Installed
47,DG,Barah_DG_1,35.2065,76.2736,2500,YES,YES,GB,Installed
48,WL-L,Barah_WL-L_1,35.0977,76.2483,4510,NO,YES,GB,Installed
49,WL-L,Barah_WL-L_2,35.1015,76.2345,4480,NO,YES,GB,Installed
50,WL-R,Barah_WL-R_1,35.1457,76.2457,4067,NO,YES,GB,Installed
